ID,SKU,Type,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Regular Price,Sale Price
,AFPTZ256_02a8b2,variation,Kargo Model Jean Pantolon,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2025,,,,,,0,Beden,28,,,,,,,,,79.99,
,AFPTZ256_05d303,variation,Kargo Model Jean Pantolon,1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2025,,,,,,0,Beden,30,,,,,,,,,79.99,
,AFPTZ256_091024,variation,Kargo Model Jean Pantolon,1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2025,,,,,,0,Beden,32,,,,,,,,,79.99,
,AFPTZ256_eda4a0,variation,Kargo Model Jean Pantolon,1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2025,,,,,,0,Beden,25,,,,,,,,,79.99,
,AFPTZ256_f37351,variation,Kargo Model Jean Pantolon,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2025,,,,,,0,Beden,26,,,,,,,,,79.99,
,BEKRVX29_04f3b0,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,L,,,,RENK,LİLA,,,,49.99,
,BEKRVX29_1109e1,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,L,,,,RENK,SİYAH,,,,49.99,
,BEKRVX29_15e1d2,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,L,,,,RENK,TAŞ RENGİ,,,,49.99,
,BEKRVX29_1a7af3,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,M,,,,RENK,LİLA,,,,49.99,
,BEKRVX29_1f3ef4,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,M,,,,RENK,SİYAH,,,,49.99,
,BEKRVX29_245db5,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,M,,,,RENK,TAŞ RENGİ,,,,49.99,
,BEKRVX29_28ddf6,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,S,,,,RENK,LİLA,,,,49.99,
,BEKRVX29_2d6667,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,S,,,,RENK,SİYAH,,,,49.99,
,BEKRVX29_31e4d8,variation,Lila Eşofman Alt,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD2030,,,,,,0,Beden,S,,,,RENK,TAŞ RENGİ,,,,49.99,
,BFHJLTV8_9564c0,variation,Kırmızı Astarlı Ceket,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,,,,MD2081,,,,,,0,Beden,L,,,,,,,,,129.99,
,BFHJLTV8_a650a1,variation,Kırmızı Astarlı Ceket,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,,,,MD2081,,,,,,0,Beden,M,,,,,,,,,129.99,
,BFHJLTV8_a91f52,variation,Kırmızı Astarlı Ceket,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,,,,MD2081,,,,,,0,Beden,S,,,,,,,,,129.99,
,CDFKT268,variable,Triko Pantolon,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,"https://st2.myideasoft.com/idea/ek/76/myassets/products/263/moda-celikler-53.gif,https://st1.myideasoft.com/idea/ek/76/myassets/products/263/moda-celikler-51.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/263/moda-celikler-50.gif",,,,,,,,,0,RENK,"BEYAZ, YEŞİL",1,,,,,,,,,
,CDFKT268_c1cb80,variation,Triko Pantolon,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,CDFKT268,,,,,,0,RENK,BEYAZ,,,,,,,,,74.99,
,CDFKT268_c65121,variation,Triko Pantolon,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,CDFKT268,,,,,,0,RENK,YEŞİL,,,,,,,,,74.99,
,DEJKPS28_9845e0,variation,İşlemeli  Krem Tül Bluz,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD2027,,,,,,0,Beden,L,,,,,,,,,69.99,
,DEJKPS28_9da6e1,variation,İşlemeli  Krem Tül Bluz,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD2027,,,,,,0,Beden,M,,,,,,,,,69.99,
,DEJKPS28_a11762,variation,İşlemeli  Krem Tül Bluz,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD2027,,,,,,0,Beden,S,,,,,,,,,69.99,
,DEJKPS28_a56043,variation,İşlemeli  Krem Tül Bluz,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD2027,,,,,,0,Beden,XL,,,,,,,,,69.99,
,DLTVY279_904760,variation,Beyaz Kemerli Lila Pantolon,1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD1898,,,,,,0,Beden,34,,,,,,,,,79.99,
,DLTVY279_96d011,variation,Beyaz Kemerli Lila Pantolon,1,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD1898,,,,,,0,Beden,36,,,,,,,,,79.99,
,DLTVY279_99b7b2,variation,Beyaz Kemerli Lila Pantolon,1,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD1898,,,,,,0,Beden,38,,,,,,,,,79.99,
,DLTVY279_9c89c3,variation,Beyaz Kemerli Lila Pantolon,1,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD1898,,,,,,0,Beden,40,,,,,,,,,79.99,
,HLTWZ389_98ae90,variation,Oversize Nike Baskılı Basic,1,0,visible,,,,,taxable,,1,9,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > T-shirts, All products > Clothing > Tops",,,,,,MD2094,,,,,,0,Beden,L,,,,,,,,,44.99,
,HLTWZ389_a8a951,variation,Oversize Nike Baskılı Basic,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > T-shirts, All products > Clothing > Tops",,,,,,MD2094,,,,,,0,Beden,M,,,,,,,,,44.99,
,HLTWZ389_ad9aa2,variation,Oversize Nike Baskılı Basic,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > T-shirts, All products > Clothing > Tops",,,,,,MD2094,,,,,,0,Beden,S,,,,,,,,,44.99,
,JKSTU359_3d66a0,variation,Kolları Volalı Mini Elbise,1,0,visible,,,,,taxable,,1,5,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Dresses ",,,,,,MD2086,,,,,,0,Beden,L,,,,,,,,,129.99,
,JKSTU359_45a791,variation,Kolları Volalı Mini Elbise,1,0,visible,,,,,taxable,,1,9,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Dresses ",,,,,,MD2086,,,,,,0,Beden,M,,,,,,,,,129.99,
,JKSTU359_48d0f2,variation,Kolları Volalı Mini Elbise,1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Dresses ",,,,,,MD2086,,,,,,0,Beden,S,,,,,,,,,129.99,
,MD1071_e149a0,variation,BIZARRE SWEAT,0,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD1816,,,,,,0,Beden,L,,,,,,,,,79.99,
,MD1071_ec55d1,variation,BIZARRE SWEAT,0,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD1816,,,,,,0,Beden,M,,,,,,,,,79.99,
,MD1071_ef0c12,variation,BIZARRE SWEAT,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,,"All products, All products > Clothing",,,,,,MD1816,,,,,,0,Beden,S,,,,,,,,,79.99,
,MD1600,variable,Süet Püsküllü Ceket,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,"https://st2.myideasoft.com/idea/ek/76/myassets/products/036/moda-celikler-siyah-ceket.gif,https://st1.myideasoft.com/idea/ek/76/myassets/products/036/ppch0719.gif",,,,,,,,,0,RENK,"BORDO, KREM, SİYAH, TABA",1,,,Beden,"L, M, S",1,,,,
,MD1600_0642c1,variation,Süet Püsküllü Ceket,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,,,,MD1600,,,,,,0,RENK,BORDO,,,,Beden,M,,,,139.9,
,MD1600_09d542,variation,Süet Püsküllü Ceket,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,,,,MD1600,,,,,,0,RENK,BORDO,,,,Beden,S,,,,139.9,
,MD1600_0d1b33,variation,Süet Püsküllü Ceket,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,,,,MD1600,,,,,,0,RENK,KREM,,,,Beden,L,,,,139.9,
,MD1600_111ad4,variation,Süet Püsküllü Ceket,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jackets, All products > Clothing > Tops",,,,,,MD1600,,,,,,0,RENK,KREM,,,,Beden,M,,,,139.9,
