ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Pozition
101000,simple,,Esmaül Hosni Plate Pendant,1,0,visible,,Materiel. . : Silver. On image Product Color: Yellow. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . Rose or White color as you want to give your orders Product Notes Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,45.59,47.88,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/esmaul-husna-plaka-kolye-ucu-2640-20-O.jpg,,,,,,,,,0
101001,simple,,Plate Pendant Hosni Esmaül,1,0,visible,,Materiel. . : Silver. On image Product Color: Yellow. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . Rose or White color as you want to give your orders Product Notes Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,57.94,61.6,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/plaka-esmaul-husna-kolye-2639-20-O.jpg,,,,,,,,,0
101002,simple,,Color Waterway Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color: White. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . Rose or yellow color as you want to give your orders Product Notes Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,86.77,93.63,"All products, All products > Accessories, All products > Accessories > Bracelets",,,"https://www.mineralistgumus.com/renkli-suyolu-kolye-2637-20-O.jpg, https://www.mineralistgumus.com/renkli-suyolu-kolye-2638-20-O.jpg",,,,,,,,,0
101003,simple,,Self Triple Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color: Yellow. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Rose White or Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,44.9,47.12,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/kendinden-uclu-kolye-2600-20-O.jpg,,,,,,,,,0
101004,simple,,Color baguette Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color: Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : White or. If you want to order sarýrenk Product Notes as Part of Your Symptoms.,,,taxable,,1,,,0,0,,,,,1,,49.02,51.69,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/renkli-baget-kolye-2598-20-O.jpg,,,,,,,,,0
101005,simple,,Quarter Necklace genres change,1,0,visible,,Materiel. . : Silver. On image Product Color: Yellow. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Rose White or Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,41.47,43.3,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/nazarli-ceyrek-kolye-2560-20-O.jpg,,,,,,,,,0
101006,simple,,Baguette Stone Drops Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color :. Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : White or. If you want to order sarýrenk Product Notes as Part of Your Symptoms.,,,taxable,,1,,,0,0,,,,,1,,32.76,33.62,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/baget-tasli-damla-kolye-2559-20-O.jpg,,,,,,,,,0
101007,simple,,Plane baguette Stone Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color :. Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : White or. If you want to order the product as a yellow color Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,32.76,33.62,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/baget-tasli-cinar-kolye-2558-20-O.jpg,,,,,,,,,0
101008,simple,,Covered Medallion Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color: Yellow. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Rose White or Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,48.34,50.93,"All products, All products > Accessories, All products > Accessories > Necklaces",,,"https://www.mineralistgumus.com/kapakli-madalyon-kolye-2551-20-O.jpg, https://www.mineralistgumus.com/kapakli-madalyon-kolye-2552-20-O.jpg",,,,,,,,,0
101009,simple,,Fanoos Stone Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color: White. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . Rose or yellow color as you want to give your orders Product Notes Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,42.84,44.83,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/tasli-fanus-kolye-2550-20-O.jpg,,,,,,,,,0
101010,simple,,Daisy Pendant,1,0,visible,,Materiel. . : Silver. On image Product Color: Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order the product as a white or yellow color Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,37.35,38.73,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/papatya-kolye-2549-20-O.jpg,,,,,,,,,0
101011,simple,,Rectangular Black Stone Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color: Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order the product as a white or yellow color Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,37.35,38.73,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/dikdortgen-siyah-tasli-kolye-2548-20-O.jpg,,,,,,,,,0
101012,simple,,40 cm Italian Herringbone Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color: Yellow. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Rose White or Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,37.35,38.73,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/40-cm-italyan-balik-sirti-kolye-2544-20-O.jpg,,,,,,,,,0
101013,simple,,Nose Drops Pearl Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color :. White. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . :. Yellow or Rose. If you want to order as Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,70.3,75.33,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/damla-uclu-inci-kolye-2537-20-O.jpg,,,,,,,,,0
101014,simple,,Ivy Drip Pearl Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color :. White. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . :. Yellow or Rose. If you want to order as Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,70.3,75.33,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/sarmasik-damla-inci-kolye-2536-20-O.jpg,,,,,,,,,0
101015,simple,,Yellow Multi-Sequin Necklace,1,0,visible,,Materiel. . : Silver. On image Product Color :. Yellow. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . :. Beyazve Rosa. If you want to order as Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,49.71,52.45,"All products, All products > Accessories, All products > Accessories > Necklaces",,,https://www.mineralistgumus.com/coklu-sari-pullu-kolye-2500-20-O.jpg,,,,,,,,,0
