ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Pozition
100000,simple,,Large Rectangle Gemstone Earrings,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,44.1,46.22,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/renkli-dikdortgen-kupe-2966-22-O.jpg, https://www.mineralistgumus.com/renkli-dikdortgen-kupe-2967-22-O.jpg",,,,,,,,,0
100001,simple,,Color Heart Earrings,1,0,visible,,Material: Silver. Double As has Pricing. Visual Products. Double As has Pricing. Color:. Rose. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color:. If you want to order Sarýve White Color Product Notes as Part of Your Symptoms.,,,taxable,,1,,,0,0,,,,,1,,38.13,39.59,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/renkli-kalp-kupe-2801-21-O.jpg, https://www.mineralistgumus.com/renkli-kalp-kupe-2802-21-O.jpg",,,,,,,,,0
100002,simple,,Flowering Moon and Star Earrings,1,0,visible,,Material: Silver. N.1 is the month and 1 star earrings price. On image Product Color: Rose. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,36.94,38.26,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/cicekli-ay-ve-yildiz-kupe-2798-21-O.jpg,,,,,,,,,0
100003,simple,,Patterned Ethnic Earrings Cartilage,1,0,visible,,Material: Silver. On image Product Color:. Yellow. 1 a. det earrings is the rates. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color:. If you want to order Rosevear White Color Product Notes as Part of Your Symptoms.,,,taxable,,1,,,0,0,,,,,1,,33.92,34.91,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/etnik-desenli-kikirdak-kupe-2796-21-O.jpg, https://www.mineralistgumus.com/etnik-desenli-kikirdak-kupe-2797-21-O.jpg",,,,,,,,,0
100004,simple,,Cartilage Earrings with pearls Nail Model,1,0,visible,,Material: Silver. On image Product Color: White. One earring is the price. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or if you want to order as Rose Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,39.32,40.92,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/incili-civi-model-kikirdak-kupe-2792-21-O.jpg,,,,,,,,,0
100005,simple,,Cartilage Earrings in Sterling,1,0,visible,,Material: Silver. On image Product Color:. Yellow. One earring is the price. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color:. If you want to order Rosevear White Color Product Notes as Part of Your Symptoms.,,,taxable,,1,,,0,0,,,,,1,,33.92,34.91,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/tasli-kikirdak-kupesi-2783-21-O.jpg, https://www.mineralistgumus.com/tasli-kikirdak-kupesi-2784-21-O.jpg",,,,,,,,,0
100006,simple,,Patterned Cartilage Earrings,1,0,visible,,Product Details :. Material: Silver. One earring is the price. On image Product Color: Rose. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,41.47,43.3,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/motifli-kikirdak-kupe-2777-21-O.jpg, https://www.mineralistgumus.com/motifli-kikirdak-kupe-2778-21-O.jpg",,,,,,,,,0
100007,simple,,Single Row Baguette Cz Earrings Cartilage,1,0,visible,,Material: Silver. On image Product Color: Rose. One earring is the price. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,33.92,34.91,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/tek-sira-baget-tasli-kikirdak-kupe-2771-21-O.jpg, https://www.mineralistgumus.com/tek-sira-baget-tasli-kikirdak-kupe-2772-21-O.jpg",,,,,,,,,0
100008,simple,,Pole Star Cartilage earring,1,0,visible,,Material: Silver. On image Product Color: Rose. One earring is the price. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,32.55,33.39,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/kutup-yildizi-kikirdak-kupesi-2769-21-O.jpg, https://www.mineralistgumus.com/kutup-yildizi-kikirdak-kupesi-2770-21-O.jpg",,,,,,,,,0
100009,simple,,Cartilage Earrings in Sterling Gospel,1,0,visible,,Material: Silver. On image Product Color: Rose. A total price is the earring. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,45.59,47.88,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/incili-tasli-kikirdak-kupesi-2767-21-O.jpg, https://www.mineralistgumus.com/incili-tasli-kikirdak-kupesi-2768-21-O.jpg",,,,,,,,,0
100010,simple,,Straight Yellow Cartilage Earring,1,0,visible,,Material: Silver. On image Product Color:. Yellow. Each earring is a price. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color:. If you want to order Rosevear White Color Product Notes as Part of Your Symptoms.,,,taxable,,1,,,0,0,,,,,1,,32.55,33.39,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/duz-sari-kikirdak-kupesi-2764-21-O.jpg,,,,,,,,,0
100011,simple,,Screw Rose Cartilage Earring,1,0,visible,,Material: Silver. On image Product Color: Rose. Valid for one earring. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,32.55,33.39,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/rose-burgu-kikirdak-kupesi-2762-21-O.jpg, https://www.mineralistgumus.com/rose-burgu-kikirdak-kupesi-2763-21-O.jpg",,,,,,,,,0
100012,simple,,Pearl Stone Flower Earrings,1,0,visible,,Material: Silver. Double As has Pricing. On image Product Color: Rose. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,38.73,40.25,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/sedef-tasli-cicek-kupe-2135-2743-21-O.jpg, https://www.mineralistgumus.com/sedef-tasli-cicek-kupe-2135-2744-21-O.jpg",,,,,,,,,0
100013,simple,,Flowers pearl earrings with pearls,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,38.73,40.25,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/incili-sedefli-cicek-kupe-2738-21-O.jpg, https://www.mineralistgumus.com/incili-sedefli-cicek-kupe-2739-21-O.jpg",,,,,,,,,0
100014,simple,,Rod Stone Pearl Earring,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,36.94,38.26,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/sedef-tasli-cubuk-kupe-2736-21-O.jpg, https://www.mineralistgumus.com/sedef-tasli-cubuk-kupe-2737-21-O.jpg",,,,,,,,,0
100015,simple,,Single Flower Earrings with pearls,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,36.94,38.26,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/tek-incili-cicek-kupe-2733-21-O.jpg, https://www.mineralistgumus.com/tek-incili-cicek-kupe-2734-21-O.jpg",,,,,,,,,0
100016,simple,,Comet Earrings,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,36.94,38.26,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/kuyruklu-yildiz-kupe-2731-21-O.jpg, https://www.mineralistgumus.com/kuyruklu-yildiz-kupe-2732-21-O.jpg",,,,,,,,,0
100017,simple,,Pearl Earrings Round One,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,36.94,38.26,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/yuvarlar-tek-inci-kupe-2723-21-O.jpg, https://www.mineralistgumus.com/yuvarlar-tek-inci-kupe-2724-21-O.jpg",,,,,,,,,0
100018,simple,,Round pearls Floral Earrings,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,36.94,38.26,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/yuvarlak-incili-cicekli-kupe-2718-21-O.jpg, https://www.mineralistgumus.com/yuvarlak-incili-cicekli-kupe-2719-21-O.jpg",,,,,,,,,0
100019,simple,,Thick auger Ring Earrings,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,48.34,50.93,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/kalin-burgu-halka-kupe-2711-21-O.jpg,,,,,,,,,0
100020,simple,,Top Top Pearl Earrings,1,0,visible,,Material: Silver. On image Product Color: Rose. Double As has Pricing. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White color as you want to order your product Note Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,42.84,44.83,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/top-top-inci-kupe-2709-21-O.jpg, https://www.mineralistgumus.com/top-top-inci-kupe-2710-21-O.jpg",,,,,,,,,0
100021,simple,,Models range Earrings,1,0,visible,,Material: Silver. On image Product Color: Rose. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Yellow or White. If you want to order as Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,55.2,58.55,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/yelpaze-model-kupe-2706-21-O.jpg, https://www.mineralistgumus.com/yelpaze-model-kupe-2707-21-O.jpg",,,,,,,,,0
100022,simple,,Blue Cat's Eye Earrings,1,0,visible,,Materiel. . : Silver. Double As has Pricing. On image Product Color: Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficiencies in the order you created in Case registered. You will be contacted at the phone number. Color. . : If you want to order as Yellow or White color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,35.29,36.44,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/mavi-kedi-gozu-kupe-2666-21-O.jpg,,,,,,,,,0
100023,simple,,Mallorca pearls Red Earrings,1,0,visible,,Materiel. . : Silver. Double As has Pricing. On image Product Color: Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Yellow or White color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,35.29,36.44,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/mayorka-incili-kirmizi-kupe-2665-21-O.jpg,,,,,,,,,0
100024,simple,,Turquoise Earrings Majorca pearls,1,0,visible,,Materiel. . : Silver. Double As has Pricing. On image Product Color: Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Yellow or White color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,35.29,36.44,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/mayorka-incili-turkuaz-kupe-2664-21-O.jpg,,,,,,,,,0
100025,simple,,Model Oval Color Ring Earrings,1,0,visible,,Material: Silver. Double As has Pricing. On image Product Color: Yellow. Special Note: Product Related to the Structure of the Special Section and Information Request product need to manually note. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color: Rose or white. If you want to order as Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,52.45,55.5,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/oval-model-renkli-halka-2655-20-O.jpg,,,,,,,,,0
100026,simple,,Majorca pearls Earrings,1,0,visible,,Materiel. . : Silver. Double As has Pricing. On image Product Color: Rose. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Yellow or White color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,35.29,36.44,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/mayorka-incili-kupe-2643-20-O.jpg,,,,,,,,,0
100027,simple,,Pop Art Dinosaurs Earrings,1,0,visible,,Materiel. . : Silver. And the public has Pricing as a dinosaur. On image Product Color: White. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . Rose or yellow color as you want to give your orders Product Notes Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,55.2,58.55,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/pop-art-dinozor-kupe-2642-20-O.jpg,,,,,,,,,0
100028,simple,,Evening Emerald Green Earrings,1,0,visible,,Materiel. . : Silver. On image Product Color: White. Double As has Pricing. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . Rose or yellow color as you want to give your orders Product Notes Symptoms Section.,,,taxable,,1,,,0,0,,,,,1,,79.91,86.01,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/zumrut-yesili-abiye-kupe-2641-20-O.jpg, https://www.mineralistgumus.com/zumrut-yesili-abiye-kupe-2659-20-O.jpg",,,,,,,,,0
100029,simple,,Emerald Cut Blue and Green Earrings,1,0,visible,,Materiel. . : Silver. On image Product Color:. White. Double As has Pricing. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . :. If you want to order or as Yellow Rose Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,58.42,62.14,"All products, All products > Accessories, All products > Accessories > Earrings",,,https://www.mineralistgumus.com/emerald-kesim-mavi-ve-yesil-tasli-kupe-2630-20-O.jpg,,,,,,,,,0
100030,simple,,Karen Black Stone Earrings,1,0,visible,,Materiel. . : Silver. On image Product Color: Yellow. Double As has Pricing. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . : If you want to order as Rose White or Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,86.77,93.63,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/siyah-tasli-kare-kupe-2628-20-O.jpg, https://www.mineralistgumus.com/siyah-tasli-kare-kupe-2629-20-O.jpg",,,,,,,,,0
100031,simple,,Floral Patterned Cut Emerald Earrings,1,0,visible,,Materiel. . : Silver. On image Product Color :. White. Double As has Pricing. Special Note. . : Special Requirements Related to the Structure of the product and the need to manually Product Notes and Information Department. Deficit To Be In Order To Enter in touch with you in case you have created the registered phone number. Color. . :. If you want to order or as Yellow Rose Color Product Note Specify the department.,,,taxable,,1,,,0,0,,,,,1,,120.49,131.1,"All products, All products > Accessories, All products > Accessories > Earrings",,,"https://www.mineralistgumus.com/cicek-desenli-emerald-kesim-kupe-2613-20-O.jpg, https://www.mineralistgumus.com/cicek-desenli-emerald-kesim-kupe-2614-20-O.jpg",,,,,,,,,0
